"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00770512","Active",1,1,="0077051211","M.TAM SUA A BONNE' SPA 350G","P0660147",="3003560","CONG TY TNHH CO HOI VA THACH THUC","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102003-BATH PRODUCTS","0610200301-BATH SALT","","",26,"Yes","Yes","Yes",="8857087000148",03-JUN-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,12,10,,="",,,,2000000,121,,50000000,121,"","41","48","",10900147,12-MAY-22,31-DEC-49,28585.38,1,35182,46100,,,,,70,743219.75
"147-MOONLIGHT",="00284062","Active",1,1,="0028406211","TH72 LO 2+1 BCDR COLGATE SS CS NUOU","P2510147",="0350005","CTY TNHH COLGATE PALMOLIVE VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103002-TOOTHBRUSHES","0610300202-02-SOFT BRUSH","","",24,"Yes","Yes","Yes",="8935236000253",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,8000000,121,,200000000,121,"","41","24","",10900147,01-JUL-23,31-DEC-49,30622.26,2,30324,39300,,,,1,180,734934.1714285704
"147-MOONLIGHT",="01232181","Active",1,1,="0123218111","DX TRESEMME REBOND 480G","P0010147",="1250016","CTY TNHH QUOC TE UNILEVER VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101002-COND. AND TREATMENT","0610100201-CONDITIONERS","PLANO","",19,"Yes","Yes","Yes",="8934868167921",09-JUL-22,31-DEC-49,"Yes",,,"","",1,Day,4,,4,12,10,,="",,,,1500,181,,1000000000,121,"","41","8","",10900147,09-JUL-22,31-DEC-49,128113.11,1,139091,166600,,,,,167,2434149.111539046
"147-MOONLIGHT",="00961478","Active",1,1,="0096147811","DG DOVE NGAN GAY RUNG TOC BIO 880G","P0010147",="1250016","CTY TNHH QUOC TE UNILEVER VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101001-SHAMPOO","0610100102-ANTI-DAMAGE","","",29,"Yes","Yes","Yes",="8934868155720",27-APR-22,31-DEC-49,"Yes",,,"","",1,Day,4,,4,12,10,,="",,,,1500,181,,1000000000,121,"C326(14/12/2023-26/12/2023),C401(11/01/2024-24/01/2024)","41","8","",20300147,14-DEC-23,26-DEC-23,148473.83,1,176727,209900,,180100,,,246,4305741.036634775
"147-MOONLIGHT",="01211207","Active",1,1,="0121120711","NRT LIFEBUOY BAO VE TUI 1L","P0010147",="1250016","CTY TNHH QUOC TE UNILEVER VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102008-HAND SOAPS","0610200801-01- MEDICATED","","",32,"Yes","Yes","Yes",="8934868171034",02-JUN-22,31-DEC-49,"Yes",,,"","",1,Day,4,,4,12,10,,="",,,,1500,181,,1000000000,121,"C327(27/12/2023-10/01/2024)","41","12","",10900147,22-DEC-22,31-DEC-49,107347.8,1,110455,133700,,,,3,52,3435129.604225376
"147-MOONLIGHT",="01363405","Active",1,1,="0136340511","LO2 BCDR LIPZO CAO CAP SENSITIVE","P2560147",="3000907","CONG TY CO PHAN DILIGO HOLDINGS","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103002-TOOTHBRUSHES","0610300202-02-SOFT BRUSH","PLANO","",,"No","Yes","Yes",="8936066512312",25-JUL-23,31-DEC-23,"Yes",,,"","",1,Day,5,,15,,,2,="",,,,200000,121,,50000000,121,"","41","36","",10900147,25-JUL-23,31-DEC-49,,1,52500,66500,,,,,,
"147-MOONLIGHT",="00426114","Active",1,1,="0042611411","GEL CN SUNPLAY SKIN AQUA SPF50+ 70G","P1520147",="2050005","C.TY TNHH DV TN THANH NGOC","06-HBA AND COSMETIC","0620-BEAUTY CARE","062010-FACIAL CARE","06201004-UV PROTECTION","0620100403-BODY&FACIAL","","",20,"Yes","Yes","Yes",="8935006537866",25-AUG-23,31-DEC-49,"Yes",,,"","",1,Week,5,,4,2,1,,="",,,,7000000,121,,200000000,121,"","1","1","",10900147,26-AUG-23,31-DEC-49,151544.26,1,154636,189000,,,,,795,3030885.2
"147-MOONLIGHT",="01393902","Active",1,1,="0139390211","DAU DUONG TOC FINO PREMIUM HAIR OIL 70ML","PROMO",="3005759","CTY TNHH FT VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101002-COND. AND TREATMENT","0610100204-LEAVE-ON","","",,"No","Yes","No",="4901872471997",01-DEC-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,,,,,,"C327(27/12/2023-10/01/2024),C401(11/01/2024-24/01/2024)","41","6","",,,,,1,192409,,,,,,,
"147-MOONLIGHT",="01409350","Active",1,1,="0140935011","NTT JM DERMA CARE CERAMIDE 500ML","Q0560147",="3004737","CTY TNHH TM EGAO VIET NAM","06-HBA AND COSMETIC","0620-BEAUTY CARE","062010-FACIAL CARE","06201001-FACIAL CLEANSER","0620100102-MAKE UP REMOVER","PLANO","",,"No","Yes","Yes",="8809505545113",15-NOV-23,31-DEC-49,"Yes",,,"","",1,Week,8,,1,,,,="",,,,200000,121,,,,"","41","20","",10900147,08-NOV-23,31-DEC-49,,2,162818,199000,,,,,,
"147-MOONLIGHT",="00541452","Active",1,1,="0054145211","SMT FELINA LAVALSE CN602","",="","","06-HBA AND COSMETIC","0620-BEAUTY CARE","062040-ACCESSORIES","06204005-NAIL CARE","0620400502-NAIL POLISH","","",6,"Yes","No","Yes",="8936083053270",,,"No",,,"","",,,,,,,,,="",,,,,,,,,"","","","",10900147,01-AUG-23,31-DEC-49,26181.6,,,47700,,,,1,534,157089.6
"147-MOONLIGHT",="00393261","Active",1,1,="0039326111","TH.6 TA QUAN MOONY XL38-GIRL","Q1540147",="2250102","CN CTY CP DIANA UNICHARM","06-HBA AND COSMETIC","0630-BABY CARE","063020-BABY DIAPERS","06302002-PANTS","0630200204-EXTRA LARGE","","",8,"Yes","Yes","Yes",="4903111208098",02-JUL-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,25000000,121,,400000000,121,"C326(14/12/2023-26/12/2023),C327(27/12/2023-10/01/2024),C401(11/01/2024-24/01/2024)","41","4","",20500147,21-DEC-23,02-JAN-24,297390.62,2,354545,334800,,,327300,,153,2379124.961111112
