"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00829329","Active",1,1,="0082932911","PHAN HUU CO BOUNCE BACK-TUI LOC 90G","D0060147",="1001096","CTY TNHH GIONG CAY TRONG PHU NONG","02-HOME LINE","0240-HOME IMPROVEMENT","024030-GARDENING","02403003-SOIL & FERTILIZER","0240300302-FERTILIZER","","",0,"No","Yes","Yes",="8936063135781",18-AUG-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,1000000,121,,50000000,121,"","1","1","",10900147,17-AUG-23,31-DEC-49,25000,1,25000,34900,,,,,0,0
"147-MOONLIGHT",="01010891","Active",1,1,="0101089111","P-TM-MAC AO SIEU DINH 2 CANG 6 MOC 0537","B0580147",="3006080","CTY TNHH SX GIA DUNG TUYET MAI","02-HOME LINE","0210-HOUSEWARE","021040-LAUNDRY","02104004-DRYING - TIDY","0210400402-PLASTIC CLOTH HANGER","","",,"No","Yes","Yes",="6931924305374",16-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,7,,1,,,,="",,,,3000000,121,,,,"","41","10","",20500147,14-DEC-23,26-DEC-23,,1,36000,,,,45000,,,
"147-MOONLIGHT",="01251892","Active",1,1,="0125189211","MEGAHOME-HOP GIAY NAP TRE NHO","A1520147",="3001391","CONG TY TNHH MEGAHOME","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102003-CUTLERY - TABLEWARE ACC","0210200307-TOOTHPICK/PAPER/CHOPSTICK HOLDER","","",20,"Yes","Yes","Yes",="8936186271762",09-NOV-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,7000000,121,,200000000,121,"","41","20","",10900147,08-JUL-23,31-DEC-49,29400,1,33075,54900,,,,,0,588000
"147-MOONLIGHT",="01396043","Active",1,1,="0139604311","TO OPAL SAC XUAN 7"" SX7TO (17.8CM)","B0480147",="3004959","CTY TNHH MTV XNK TM DV HUNG THUY","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102001-DISHWARE","0210200103-GLASS BOWL","","",,"No","Yes","Yes",="8935282802245",16-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","41","6","",10900147,20-OCT-23,31-DEC-49,,1,49000,79900,,,,,,
"147-MOONLIGHT",="00593569","Active",1,1,="0059356911","BO THAU RO 3T6","D0370147",="3002710","CTY CP SX NHUA DUY TAN","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101002-KITCHEN STORAGE","0210100203-PLASTIC BASIN","","",,"No","Yes","Yes",="8935007704939",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,50000000,121,"","41","10","",20500147,14-DEC-23,26-DEC-23,,1,52500,79900,,,69000,,,
"147-MOONLIGHT",="01247584","Active",1,1,="0124758411","HOP XE DIEU KHIEN YJ92-14","C0520147",="3004554","CTY TNHH DT VA PT TAN DINH HAO","02-HOME LINE","0230-LEISURE","023010-TOYS","02301002-BOY'S TOYS","0230100202-RECHARGEABLE BAT OPERATE CAR","","",,"No","Yes","Yes",="8935293614875",21-OCT-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,21-OCT-22,31-DEC-49,,1,185000,299000,,,,,,
"147-MOONLIGHT",="01294172","Active",1,1,="0129417211","KBM - AO SO MI - S","D0580147",="3005947","CONG TY TNHH MTV KIM BINH MINH","02-HOME LINE","0240-HOME IMPROVEMENT","024080-PET","02408005-CLOTHES","0240800503-SHIRTS","","",,"No","Yes","Yes",="8935347900060",30-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,30-SEP-23,31-DEC-49,,1,25000,59000,,,,,,
"147-MOONLIGHT",="01411174","Active",2,2,="0141117422","BO 6 LY TT LUMINARC NEO DOT ICE BLUE 310ML","A1760147",="3003938","CTY CP TM DV A AU","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102002-DRINKING WARE","0210200203-WATER GLASS","","",,"No","Yes","Yes",="8935295605291",26-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","41","6","",20300147,14-DEC-23,09-FEB-24,,2,174545,219000,,109000,,,,
"147-MOONLIGHT",="00590404","Active",1,1,="0059040411","SH6542-24 NOI ANOD 24CM SUNHOUSE","A0130147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100102-ALUMINUM POT","","",,"No","Yes","Yes",="8935259802728",27-SEP-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","1","1","",10900147,03-AUG-23,31-DEC-49,,1,273000,390000,,,,,,
"147-MOONLIGHT",="01010273","Active",1,1,="0101027311","NHANG XANH MAY LANH 20CM 300G","A8480147",="3005105","CTY CP NHANG THIEN","02-HOME LINE","0220-HOME FURNISHING","022030-DECORATION","02203002-LIVING ROOM & BEDROOM DECORATION","0220300209-OTHER DECORATIION","","",,"No","Yes","Yes",="8936108471843",08-AUG-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,5000000,121,,,,"","1","1","",10900147,06-MAY-22,31-DEC-49,,1,80000,120000,,,,,,
