"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00076565","Active",2,2,="0007656522","N/VU SIL SIEU MEM VI 2 SIZE L","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",4,"Yes","Yes","Yes",="4902508019439",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,73054.83,2,73718,102000,,,,1,152,292219.3333333332
"147-MOONLIGHT",="01176809","Active",1,1,="0117680911","MV_TUI TRU SUA 120ML HTHH_HOP 25TUI","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140304-CLEANING AND CHILD CARE ACC.","","",8,"Yes","Yes","Yes",="4902508793216",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,140932,1,141655,196000,,,,,512,1127456
"147-MOONLIGHT",="00076614","Active",0,0,="0007661400","CAY SUC B/S NYLON XANH DUONG","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140304-CLEANING AND CHILD CARE ACC.","","SEASONAL;",12,"Yes","Yes","Yes",="4902508045506",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,54791.55,0,54927,76000,,,,,428,657498.6122448984
"147-MOONLIGHT",="00432627","Active",1,1,="0043262711","P-MV-BINH SUA PP TIEU CHUAN 240ML","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",10,"Yes","Yes","Yes",="8935103710476",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,44744,1,44809,62000,,,,,342,447440
"147-MOONLIGHT",="01406397","Active",1,1,="0140639711","HT- AO KHOAC NU DANG DAI - XAM LONG CHUOT S-XL","G1010147",="0850323","CONG TY TNHH TMDV SX HIEN TRUC","03-SOFT LINE","0310-LADIES'","031012-LADIES WEAR","03101201-LADIES T-SHIRTS","0310120102-LS","","",,"No","Yes","Yes",="8935244180909",01-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,,,"","1","1","",20500147,14-NOV-23,19-FEB-24,,1,72000,149000,,,99000,,,
"147-MOONLIGHT",="00079121","Active",0,0,="0007912100","DUNG CU HUT MUI,VOI HUT","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140304-CLEANING AND CHILD CARE ACC.","","SEASONAL;",6,"Yes","Yes","Yes",="4902508108393",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,103350,0,104073,144000,,,,,540,620100
"147-MOONLIGHT",="00076565","Active",0,0,="0007656500","N/VU SIL SIEU MEM VI 2 SIZE S","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",18,"Yes","Yes","Yes",="4902508019408",27-APR-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,73718,0,73718,102000,,,,,908,1326924
"147-MOONLIGHT",="00635521","Active",1,1,="0063552111","BINH SUA PP STREAMLINE 150ML","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",6,"Yes","Yes","Yes",="4902508266512",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,102627,1,104795,145000,,,,,432,615762
"147-MOONLIGHT",="00076565","Active",1,1,="0007656511","N/VU SIL SIEU MEM VI 2 SIZE M","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",10,"Yes","Yes","Yes",="4902508019415",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,69118.91,1,73718,102000,,,,,755,691189.090909091
"147-MOONLIGHT",="01406396","Active",2,2,="0140639622","HT- AO KHOAC NU DANG DAI - XANH DEN S-XL","G1010147",="0850323","CONG TY TNHH TMDV SX HIEN TRUC","03-SOFT LINE","0310-LADIES'","031012-LADIES WEAR","03101201-LADIES T-SHIRTS","0310120102-LS","","",,"No","Yes","Yes",="8935244180893",01-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,,,"","1","1","",20500147,14-NOV-23,19-FEB-24,,2,72000,149000,,,99000,,,
"147-MOONLIGHT",="00749197","Active",1,1,="0074919711","NUM VU SILICON SIEU MEM PLUS  L","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",0,"No","Yes","Yes",="4902508018326",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,135009.5,1,143823,199000,,,,,0,0
"147-MOONLIGHT",="00423847","Active",1,1,="0042384711","P-MV-NUM VU SILICONE MEM VI 2 S,M,L","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",9,"Yes","Yes","Yes",="8935103710285",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,18791,1,18791,26000,,,,1,196,169119
"147-MOONLIGHT",="01176810","Active",1,1,="0117681011","MV_TI NGAM DON ASIAN SIZE S","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",14,"Yes","Yes","Yes",="4902508782371",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,72040.05,1,75164,104000,,,,,1372,1008560.736842106
"147-MOONLIGHT",="01008532","Active",1,1,="0100853211","MV_NUM VU SILICON PIGEON SIEU MEM PLUS LL","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",0,"No","Yes","Yes",="4902508266574",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,143024.88,1,143823,199000,,,,,0,0
"147-MOONLIGHT",="00955860","Active",1,1,="0095586011","BINH SUA PP STREAMLINE 150ML XANH","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",5,"Yes","Yes","Yes",="4902508782821",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,107686,1,112745,156000,,,,,872,538430
"147-MOONLIGHT",="00749195","Active",1,1,="0074919511","NUM VU SILICON SIEU MEM PLUS  S ","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",7,"Yes","Yes","Yes",="4902508018302",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,126477,1,143823,199000,,,,,798,885339
"147-MOONLIGHT",="00955861","Active",2,2,="0095586122","BINH SUA PP STREAMLINE 250ML HONG","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",6,"Yes","Yes","Yes",="4902508782852",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,4,12,10,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,117805,2,124309,172000,,,,1,87,706830
"147-MOONLIGHT",="00955863","Active",1,1,="0095586311","BINH SUA PPSU 240ML PLUS (MOI) 448","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",6,"Yes","Yes","Yes",="4902508008761",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,280932.2,1,286200,396000,,,,,357,1685593.2
"147-MOONLIGHT",="00991746","Active",1,1,="0099174611","BINH SUA PP PLUS 160ML HOA TIET - HONG","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",8,"Yes","Yes","Yes",="4902508781817",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,161951,1,166227,230000,,,,,528,1295608
